,episode,round,state,action,reward,done,model,environment
436,135,2,2,,10.0,True,Q_learning,ABC
437,136,0,0,1.0,,,Q_learning,ABC
438,136,1,1,1.0,-1.0,False,Q_learning,ABC
439,136,2,2,,10.0,True,Q_learning,ABC
440,137,0,0,1.0,,,Q_learning,ABC
441,137,1,1,1.0,-1.0,False,Q_learning,ABC
442,137,2,2,,10.0,True,Q_learning,ABC
443,138,0,0,1.0,,,Q_learning,ABC
444,138,1,0,1.0,-1.0,False,Q_learning,ABC
445,138,2,0,1.0,-1.0,False,Q_learning,ABC
446,138,3,1,1.0,-1.0,False,Q_learning,ABC
447,138,4,2,,10.0,True,Q_learning,ABC
448,139,0,0,1.0,,,Q_learning,ABC
449,139,1,1,1.0,-1.0,False,Q_learning,ABC
450,139,2,2,,10.0,True,Q_learning,ABC
451,140,0,0,1.0,,,Q_learning,ABC
452,140,1,1,1.0,-1.0,False,Q_learning,ABC
453,140,2,2,,10.0,True,Q_learning,ABC
454,141,0,0,1.0,,,Q_learning,ABC
455,141,1,1,1.0,-1.0,False,Q_learning,ABC
456,141,2,2,,10.0,True,Q_learning,ABC
457,142,0,0,1.0,,,Q_learning,ABC
458,142,1,1,1.0,-1.0,False,Q_learning,ABC
459,142,2,2,,10.0,True,Q_learning,ABC
460,143,0,0,1.0,,,Q_learning,ABC
461,143,1,1,1.0,-1.0,False,Q_learning,ABC
462,143,2,1,1.0,-1.0,False,Q_learning,ABC
463,143,3,2,,10.0,True,Q_learning,ABC
464,144,0,0,1.0,,,Q_learning,ABC
465,144,1,1,1.0,-1.0,False,Q_learning,ABC
466,144,2,2,,10.0,True,Q_learning,ABC
467,145,0,0,1.0,,,Q_learning,ABC
468,145,1,1,1.0,-1.0,False,Q_learning,ABC
469,145,2,2,,10.0,True,Q_learning,ABC
470,146,0,0,1.0,,,Q_learning,ABC
471,146,1,1,1.0,-1.0,False,Q_learning,ABC
472,146,2,2,,10.0,True,Q_learning,ABC
473,147,0,0,1.0,,,Q_learning,ABC
474,147,1,0,1.0,-1.0,False,Q_learning,ABC
475,147,2,1,1.0,-1.0,False,Q_learning,ABC
476,147,3,2,,10.0,True,Q_learning,ABC
477,148,0,0,1.0,,,Q_learning,ABC
478,148,1,1,1.0,-1.0,False,Q_learning,ABC
479,148,2,2,,10.0,True,Q_learning,ABC
480,149,0,0,1.0,,,Q_learning,ABC
481,149,1,1,1.0,-1.0,False,Q_learning,ABC
482,149,2,2,,10.0,True,Q_learning,ABC
483,150,0,0,1.0,,,Q_learning,ABC
484,150,1,1,1.0,-1.0,False,Q_learning,ABC
485,150,2,1,1.0,-1.0,False,Q_learning,ABC
486,150,3,2,,10.0,True,Q_learning,ABC
487,151,0,0,1.0,,,Q_learning,ABC
488,151,1,1,1.0,-1.0,False,Q_learning,ABC
489,151,2,2,,10.0,True,Q_learning,ABC
490,152,0,0,1.0,,,Q_learning,ABC
491,152,1,1,1.0,-1.0,False,Q_learning,ABC
492,152,2,2,,10.0,True,Q_learning,ABC
493,153,0,0,1.0,,,Q_learning,ABC
494,153,1,1,1.0,-1.0,False,Q_learning,ABC
495,153,2,2,,10.0,True,Q_learning,ABC
496,154,0,0,1.0,,,Q_learning,ABC
497,154,1,1,1.0,-1.0,False,Q_learning,ABC
498,154,2,2,,10.0,True,Q_learning,ABC
499,155,0,0,1.0,,,Q_learning,ABC
500,155,1,1,1.0,-1.0,False,Q_learning,ABC
501,155,2,2,,10.0,True,Q_learning,ABC
502,156,0,0,1.0,,,Q_learning,ABC
503,156,1,0,1.0,-1.0,False,Q_learning,ABC
504,156,2,1,1.0,-1.0,False,Q_learning,ABC
505,156,3,1,1.0,-1.0,False,Q_learning,ABC
506,156,4,2,,10.0,True,Q_learning,ABC
507,157,0,0,1.0,,,Q_learning,ABC
508,157,1,1,1.0,-1.0,False,Q_learning,ABC
509,157,2,2,,10.0,True,Q_learning,ABC
510,158,0,0,1.0,,,Q_learning,ABC
511,158,1,1,1.0,-1.0,False,Q_learning,ABC
512,158,2,2,,10.0,True,Q_learning,ABC
513,159,0,0,1.0,,,Q_learning,ABC
514,159,1,1,1.0,-1.0,False,Q_learning,ABC
515,159,2,2,,10.0,True,Q_learning,ABC
516,160,0,0,1.0,,,Q_learning,ABC
517,160,1,1,1.0,-1.0,False,Q_learning,ABC
518,160,2,2,,10.0,True,Q_learning,ABC
519,161,0,0,1.0,,,Q_learning,ABC
520,161,1,1,1.0,-1.0,False,Q_learning,ABC
521,161,2,2,,10.0,True,Q_learning,ABC
522,162,0,0,1.0,,,Q_learning,ABC
523,162,1,1,1.0,-1.0,False,Q_learning,ABC
524,162,2,2,,10.0,True,Q_learning,ABC
525,163,0,0,1.0,,,Q_learning,ABC
526,163,1,1,1.0,-1.0,False,Q_learning,ABC
527,163,2,2,,10.0,True,Q_learning,ABC
